,Movie Name,Description,Genre,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross (in M)
115,Amadeus,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Biography,1984,160,8.3,88,385662,51.97
116,Scarface,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Crime,1983,170,8.3,65,788002,45.6
117,Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Action,1983,131,8.3,58,996253,309.13
118,Das Boot,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",Drama,1981,149,8.3,86,242615,11.49
119,Dersu Uzala,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,Adventure,1975,142,8.3,0,26225,0
120,The Sting,Two grifters team up to pull off the ultimate con.,Comedy,1973,129,8.3,83,252608,159.6
121,A Clockwork Orange,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Crime,1971,136,8.3,77,793352,6.21
122,2001: A Space Odyssey,"The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world's greatest supercomputer.",Adventure,1968,149,8.3,84,636837,56.95
123,Lawrence of Arabia,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Adventure,1962,228,8.3,100,282120,44.82
124,The Apartment,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Comedy,1960,125,8.3,94,173947,18.6
125,North by Northwest,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Adventure,1959,136,8.3,98,315159,13.28
126,Vertigo,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Mystery,1958,128,8.3,100,386273,3.2
127,Singin' in the Rain,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,Comedy,1952,103,8.3,99,231076,8.82
128,Ikiru,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Drama            ,1952,143,8.3,0,74679,0.06
129,Ladri di biciclette,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Drama            ,1948,89,8.3,0,157311,0.33
130,Double Indemnity,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",Crime,1944,107,8.3,95,151352,5.72
131,Citizen Kane,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",Drama,1941,119,8.3,100,426222,1.59
132,M - Eine Stadt sucht einen Mörder,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Crime,1931,117,8.3,0,152143,0.03
133,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Drama,1927,153,8.3,98,168355,1.24
134,The Kid,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Comedy,1921,68,8.3,0,121433,5.45
135,Andhadhun,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Crime,2018,139,8.2,0,85091,1.37
136,Green Book,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Biography,2018,130,8.2,69,437437,85.08
137,Koe no katachi,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Animation,2016,130,8.2,78,67056,0
138,Talvar,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Crime,2015,132,8.2,0,33769,0.34
139,Baahubali 2: The Conclusion,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Action,2017,167,8.2,0,82451,20.19
140,Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Animation,2019,96,8.2,65,125674,0
141,Masaan,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",Drama            ,2015,109,8.2,0,26503,0
142,Drishyam,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Crime,2015,163,8.2,0,77641,0.74
143,Queen,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Adventure,2013,146,8.2,0,64113,1.43
144,Mandariinid,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",Drama,2013,87,8.2,73,44742,0.14
145,Bhaag Milkha Bhaag,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,Biography,2013,186,8.2,0,65392,1.63
146,Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Action,2012,321,8.2,89,91120,0
147,Udaan,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Drama            ,2010,134,8.2,0,44187,0.01
148,Paan Singh Tomar,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Action,2012,135,8.2,0,35214,0.04
149,Zindagi Na Milegi Dobara,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Comedy,2011,155,8.2,0,73778,3.11
150,El secreto de sus ojos,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Drama,2009,129,8.2,80,202704,6.39
151,Dune: Part One,Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.,Action,2021,155,8.2,74,381186,0
152,Shutter Island,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Mystery,2010,138,8.2,63,1215112,128.01
153,Kimetsu no Yaiba: Mugen Ressha-Hen,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",Animation,2020,117,8.2,75,40823,47.7
154,Up,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Animation,2009,96,8.2,88,986289,293
155,Miracle in Cell No. 7,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,Drama            ,2019,132,8.2,0,43815,0
156,Article 15,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",Crime,2019,130,8.2,0,28561,0
157,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Biography,2013,180,8.2,75,1288360,116.9
