,Movie Name,Description,Genre,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross (in M)
108,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Drama,1987,116,8.3,76        ,748352,46.36
109,The Sting,Two grifters team up to pull off the ultimate con.,Comedy,1973,129,8.3,83        ,265536,159.6
110,Up,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Animation,2009,96,8.3,88        ,1052233,293.0
111,Kantara,It involves culture of Kambala and Bhootha Kola. A human and nature conflict where Shiva is a rebel who defends his village and nature. A death leads to war between villagers and evil forces. Will he be able to regain peace in the village?,Action,2022,148,8.3,0,90186,0.0
112,Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,Animation,1995,81,8.3,96        ,1001629,191.8
113,Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Action,1983,131,8.3,58        ,1061401,309.13
114,Lawrence of Arabia,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Adventure,1962,218,8.3,100        ,296706,44.82
115,Le fabuleux destin d'Amélie Poulain,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Comedy,2001,122,8.3,69        ,761644,33.23
116,Incendies,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Drama,2010,131,8.3,80        ,180277,6.86
117,Citizen Kane,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Drama,1941,119,8.3,100        ,445408,1.59
118,Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Animation,2010,103,8.3,92        ,842606,415.0
119,To Kill a Mockingbird,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",Crime,1962,129,8.3,88        ,318818,
120,Vertigo,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Mystery,1958,128,8.3,100        ,405768,3.2
121,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Drama,1927,153,8.3,98        ,176029,1.24
122,The Apartment,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Comedy,1960,125,8.3,94        ,183742,18.6
123,Ikiru,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Drama            ,1952,143,8.3,91        ,79804,0.06
124,North by Northwest,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Action,1959,136,8.3,98        ,330894,13.28
125,Jodaeiye Nader az Simin,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Drama            ,2011,123,8.3,95        ,246900,7.1
126,Judgment at Nuremberg,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Drama,1961,179,8.3,60        ,78481,
127,M - Eine Stadt sucht einen Mörder,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Crime,1931,117,8.3,0,159620,0.03
128,K.G.F: Chapter 2,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Action,2022,168,8.3,0,136539,0.0
129,Vikram,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved.",Action,2022,175,8.3,0,61097,0.0
130,Double Indemnity,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",Crime,1944,107,8.3,95        ,158857,5.72
131,Taare Zameen Par,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Drama,2007,165,8.3,0,195267,1.22
132,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Action,2016,161,8.3,0,193719,12.39
133,Ladri di biciclette,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Drama            ,1948,89,8.3,0,165191,0.33
134,The Kid,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Comedy,1921,68,8.3,0,127668,5.45
135,Ayla: The Daughter of War,"In 1950, amidst the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl with no parents, and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",Biography,2017,125,8.3,0,40769,0.0
136,Pather Panchali,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Drama            ,1955,125,8.3,0,34060,0.54
137,Drishyam,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Crime,2013,160,8.3,0,42210,0.0
138,Chhichhore,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Comedy,2019,143,8.3,0,56263,0.9
139,Ratsasan,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Action,2018,170,8.3,0,45868,0.0
140,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Biography,2013,180,8.2,75        ,1428336,116.9
141,Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Action,2021,148,8.2,71        ,768826,804.75
142,Jurassic Park,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Action,1993,127,8.2,68        ,997455,402.45
143,Shutter Island,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Mystery,2010,138,8.2,63        ,1330268,128.01
144,Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Crime,1976,114,8.2,94        ,842895,28.26
145,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Crime,2007,122,8.2,92        ,983382,74.28
146,1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Action,2019,119,8.2,78        ,601957,159.23
147,The Sixth Sense,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",Drama,1999,107,8.2,64        ,998638,293.51
148,Green Book,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Biography,2018,130,8.2,69        ,501512,85.08
149,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Comedy,2000,104,8.2,55        ,862826,30.33
